"pcp-dstat 6.2.0 CSV Output"
"Author:";"PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>";;;;"URL:";"https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:";"r-snort";;;;"User:";"snort-lab"
"Cmdline:";"dstat -tcvmndr --output snort_off.csv";;;;"Date:";"01 Apr 2025 04:39:53 CEST"
"system";"total usage";;;;;"procs";;;"memory usage";;;;"paging";;"dsk/total";;"system";;"net/total";;"io/total";
"time";"total usage:usr";"total usage:sys";"total usage:idl";"total usage:wai";"total usage:stl";"run";"blk";"new";"used";"free";"buf";"cach";"in";"out";"dsk/total:read";"dsk/total:writ";"int";"csw";"net/total:recv";"net/total:send";"read";"writ"
01-04 04:39:53;;0;0;;1829496;2054524;154680;3856464;;;;;;;;
01-04 04:39:54;0.500;1.000;98.219;0;0;0;0;12.996;1829128;2054888;154680;3856468;0;0;0;0;932;791;10204.775;3928.758;0;0
01-04 04:39:55;0.500;0.500;99.011;0.250;0;0;0;5.001;1829128;2054888;154680;3856468;0;0;0;32.003;403;385;3130.341;1322.144;0;2.000
01-04 04:39:56;0;0;99.495;0;0;0;0;0;1829128;2054888;154680;3856468;0;0;0;39.998;304;331;13208.356;1133.945;0;10.000
01-04 04:39:57;0.250;0.750;98.748;0;0;0;0;10.000;1828708;2055308;154680;3856468;0;0;0;0;492;407;3211.932;1125.976;0;0
01-04 04:39:58;0.500;0.250;99.253;0;0;0;0;5.000;1828708;2055308;154680;3856468;0;0;0;0;375;342;3000.079;1118.029;0;0
01-04 04:39:59;0;0.250;100.000;0;0;0;0;0;1828708;2055308;154680;3856468;0;0;0;0;211;238;2378.006;956.002;0;0
01-04 04:40:00;0.500;0;99.252;0.250;0;0;0;0;1828708;2055308;154680;3856468;0;0;0;20.000;283;326;3090.073;1226.029;0;2.000
01-04 04:40:01;0;0.250;99.499;0;0;0;0;0;1828708;2055308;154680;3856468;0;0;0;0;282;316;2367.973;1101.987;0;0
01-04 04:40:02;0.250;1.000;98.748;0;0;0;0;10.000;1829464;2054552;154680;3856468;0;0;0;0;515;405;4556.887;1247.969;0;0
01-04 04:40:03;0.500;0.250;99.498;0;0;0;0;5.000;1829464;2054552;154680;3856468;0;0;0;0;375;329;2363.954;963.981;0;0
01-04 04:40:04;0;0;99.505;0;0;0;0;0;1829464;2054552;154680;3856468;0;0;0;0;265;270;10430.491;1118.053;0;0
01-04 04:40:05;0;0;99.499;0.250;0;0;0;0;1829464;2054552;154680;3856468;0;0;0;24.000;263;308;2563.966;1047.986;0;4.000
01-04 04:40:06;0.250;0.250;99.753;0;0;0;0;0;1829464;2054552;154680;3856468;0;0;0;0;278;316;3444.088;1418.036;0;0
01-04 04:40:07;0.250;0.750;98.493;0;0;0;0;9.999;1829464;2054552;154680;3856468;0;0;0;0;472;372;2303.838;1085.923;0;0
01-04 04:40:08;0.250;0.250;99.501;0;0;0;0;5.000;1829464;2054552;154680;3856468;0;0;0;0;361;339;2080.015;940.007;0;0
01-04 04:40:09;0.250;1.000;98.253;0;0;0;0;0;1829464;2054552;154680;3856468;0;0;0;0;360;344;2080.056;940.025;0;0
01-04 04:40:10;0.250;0.250;99.749;0.250;0;0;0;0;1829460;2054552;154684;3856468;0;0;0;16.000;239;279;2491.972;1039.988;0;2.000
01-04 04:40:11;0.250;0;99.752;0;0;0;0;0;1829460;2054552;154684;3856468;0;0;0;0;224;276;2328.042;1094.020;0;0
01-04 04:40:12;0;1.000;98.493;0;0;0;0;9.999;1829712;2054300;154684;3856468;0;0;0;0;524;409;9289.316;1239.909;0;0
01-04 04:40:13;0.250;0.250;99.502;0;0;0;0;5.000;1829712;2054300;154684;3856468;0;0;0;0;583;582;8898.186;3036.063;0;0
01-04 04:40:14;0.250;0;99.256;0;0;0;0;0;1829712;2054300;154684;3856468;0;0;0;0;241;256;4307.272;1110.070;0;0
01-04 04:40:15;0.750;0.500;97.248;1.250;0;0;0;3.000;1829456;2054552;154684;3856472;0;0;0;199.997;676;682;2781.957;1147.982;0;42.999
01-04 04:40:16;0.250;0.250;100.001;0;0;0;0;0;1829456;2054552;154684;3856472;0;0;0;0;243;263;4437.034;1126.009;0;0
01-04 04:40:17;0.250;0.750;98.747;0;0;0;0;10.000;1829456;2054552;154684;3856472;0;0;0;0;510;420;3849.869;1085.963;0;0
01-04 04:40:18;0;0.250;99.004;0;0;0;0;5.000;1829456;2054552;154684;3856472;0;0;0;0;367;317;2738.102;932.035;0;0
01-04 04:40:19;0.250;0;99.749;0;0;0;0;0;1829456;2054552;154684;3856472;0;0;0;0;270;263;5975.938;1093.989;0;0
01-04 04:40:20;0;0;99.752;0.500;0;0;0;0;1829456;2054552;154684;3856472;0;0;0;44.001;254;293;2522.040;1002.016;0;4.000
01-04 04:40:21;0.250;0;99.496;0;0;0;0;0;1829456;2054552;154684;3856472;0;0;0;0;282;314;2603.902;1109.958;0;0
01-04 04:40:22;0.500;1.250;98.751;0;0;0;0;10.000;1829456;2054552;154684;3856472;0;0;0;0;476;388;2188.013;1078.007;0;0
01-04 04:40:23;0.250;0;99.000;0;0;0;0;5.000;1829456;2054552;154684;3856472;0;0;0;0;355;313;2120.008;964.003;0;0
