"pcp-dstat 6.2.0 CSV Output"
"Author:";"PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>";;;;"URL:";"https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:";"r-snort";;;;"User:";"snort-lab"
"Cmdline:";"dstat -tcvmndr --output snort_on.csv";;;;"Date:";"01 Apr 2025 04:34:06 CEST"
"system";"total usage";;;;;"procs";;;"memory usage";;;;"paging";;"dsk/total";;"system";;"net/total";;"io/total";
"time";"total usage:usr";"total usage:sys";"total usage:idl";"total usage:wai";"total usage:stl";"run";"blk";"new";"used";"free";"buf";"cach";"in";"out";"dsk/total:read";"dsk/total:writ";"int";"csw";"net/total:recv";"net/total:send";"read";"writ"
01-04 04:34:06;;0;0;;1903324;1981172;154624;3856032;;;;;;;;
01-04 04:34:07;0.500;0.250;98.953;0;0;0;0;0;1902580;1981912;154624;3856036;0;0;0;3.998;1552;2607;8755.835;3498.336;0;1.000
01-04 04:34:08;0.500;1.000;98.251;0;0;1;0;10.000;1902964;1981528;154624;3856036;0;0;0;0;1485;2323;1672.016;614.006;0;0
01-04 04:34:09;0.250;0.250;99.252;0;0;0;0;5.000;1902460;1982032;154624;3856036;0;0;0;0;1403;2301;1888.035;744.014;0;0
01-04 04:34:10;0.250;0.500;99.251;0;0;0;0;0;1902460;1982032;154624;3856036;0;0;0;36.000;1258;2246;1668.018;688.007;0;2.000
01-04 04:34:11;0.250;0.250;99.509;0;0;0;0;0;1902460;1982032;154624;3856036;0;0;0;0;1233;2207;1796.157;826.072;0;0
01-04 04:34:12;0.250;0;99.488;0;0;0;0;0;1902460;1982032;154624;3856036;0;0;0;0;1258;2229;2507.704;971.885;0;0
01-04 04:34:13;0.250;1.000;98.250;0;0;0;0;10.000;1902460;1982032;154624;3856036;0;0;0;4.000;1472;2332;1467.999;639.999;0;1.000
01-04 04:34:14;0.250;0.250;99.247;0;0;0;0;5.000;1902712;1981780;154624;3856036;0;0;0;0;1394;2308;2306.920;595.979;0;0
01-04 04:34:15;0.500;0.250;99.003;0.500;0;0;0;0;1902712;1981780;154624;3856036;0;0;0;16.000;1412;2458;69549.074;874.026;0;2.000
01-04 04:34:16;0;0;99.498;0;0;0;0;0;1902712;1981780;154624;3856036;0;0;0;20.000;1307;2282;2085.948;841.979;0;5.000
01-04 04:34:17;0.500;0.250;99.254;0;0;0;0;0;1902712;1981780;154624;3856036;0;0;0;0;1259;2244;2784.100;680.024;0;0
01-04 04:34:18;0.250;1.000;98.750;0;0;0;0;10.000;1902712;1981780;154624;3856036;0;0;0;0;1468;2323;1516.001;672.001;0;0
01-04 04:34:19;0.250;0.250;99.001;0;0;0;0;5.000;1902964;1981528;154624;3856036;0;0;0;4.000;1382;2313;2178.021;672.006;0;1.000
01-04 04:34:20;0.500;0.250;99.245;0;0;1;1;0;1902964;1981528;154624;3856036;0;0;0;11.999;1236;2216;1451.922;639.966;0;1.000
01-04 04:34:21;0;0.250;99.255;0;0;0;0;0;1902964;1981528;154624;3856036;0;0;0;4.000;1259;2222;1748.085;810.040;0;1.000
01-04 04:34:22;0.250;1.000;98.748;0;0;0;0;0;1902964;1981528;154624;3856036;0;0;0;0;1388;2315;7557.870;831.986;0;0
01-04 04:34:23;0.250;1.250;98.249;0;0;0;0;10.000;1902964;1981528;154624;3856036;0;0;0;0;1465;2325;1543.984;571.994;0;0
01-04 04:34:24;0.250;0.250;99.000;0;0;1;0;5.000;1902964;1981528;154624;3856036;0;0;0;0;1424;2315;2354.001;720.000;0;0
01-04 04:34:25;0.250;0;99.250;0;0;0;2;0;1902956;1981528;154624;3856044;0;0;0;4.000;1424;2433;4197.011;794.002;0;1.000
01-04 04:34:26;0.500;0.250;99.499;0.250;0;1;0;0;1902956;1981528;154624;3856044;0;0;0;40.000;1289;2257;1943.982;793.993;0;5.000
01-04 04:34:27;0;0.250;99.745;0;0;1;0;0;1902956;1981528;154624;3856044;0;0;0;0;1213;2187;1858.898;793.956;0;0
01-04 04:34:28;0.250;1.000;98.255;0;0;0;0;10.001;1902956;1981528;154624;3856044;0;0;0;0;1454;2318;1958.098;648.032;0;0
01-04 04:34:29;0.500;0.500;98.995;0;0;1;0;5.000;1902956;1981528;154624;3856044;0;0;0;0;1448;2362;3367.825;701.963;0;0
01-04 04:34:30;0.250;0;99.510;0;0;0;0;0;1902956;1981528;154624;3856044;0;0;0;0;1221;2195;1810.176;640.062;0;0
01-04 04:34:31;0;0.250;98.996;0.250;0;0;0;0;1902956;1981528;154624;3856044;0;0;0;19.999;1281;2249;2965.881;801.968;0;3.000
